GALLIFORMES: Odontophoridae

Red-winged Blackbird	Agelaius phoeniceus	红翅黑鹂	
Bronzed Cowbird	Molothrus aeneus	铜色牛鹂	Rare
Brown-headed Cowbird	Molothrus ater	褐头牛鹂	
Rusty Blackbird	Euphagus carolinus	锈色黑鹂	Rare
Brewer's Blackbird	Euphagus cyanocephalus	蓝头黑鹂	
Great-tailed Grackle	Quiscalus mexicanus	大尾拟八哥	Rare
 
PASSERIFORMES: Parulidae

Ovenbird	Seiurus aurocapilla	橙顶灶莺	Rare
Northern Waterthrush	Parkesia noveboracensis	黄眉灶莺	Rare
Black-and-white Warbler	Mniotilta varia	黑白森莺	Rare
Tennessee Warbler	Leiothlypis peregrina	灰冠虫森莺	
Orange-crowned Warbler	Leiothlypis celata	橙冠虫森莺	
Lucy's Warbler	Leiothlypis luciae	赤腰虫森莺	Rare
Nashville Warbler	Leiothlypis ruficapilla	黄喉虫森莺	
Virginia's Warbler	Leiothlypis virginiae	黄胸虫森莺	Rare
Connecticut Warbler	Oporornis agilis	灰喉地莺	Rare
MacGillivray's Warbler	Geothlypis tolmiei	灰头地莺	
Common Yellowthroat	Geothlypis trichas	黄喉地莺	
American Redstart	Setophaga ruticilla	橙尾鸲莺	
Northern Parula	Setophaga americana	北森莺	Rare
Magnolia Warbler	Setophaga magnolia	纹胸林莺	Rare
Bay-breasted Warbler	Setophaga castanea	栗胸林莺	Rare
Blackburnian Warbler	Setophaga fusca	橙胸林莺	Rare
American Yellow Warbler	Setophaga aestiva	美洲黄林莺	
Mangrove Warbler	Setophaga petechia	黄林莺	
Chestnut-sided Warbler	Setophaga pensylvanica	栗胁林莺	Rare
Blackpoll Warbler	Setophaga striata	白颊林莺	
Black-throated Blue Warbler	Setophaga caerulescens	黑喉蓝林莺	Rare
Palm Warbler	Setophaga palmarum	棕榈林莺	
Myrtle Warbler	Setophaga coronata	黄腰白喉林莺	
Audubon's Warbler	Setophaga auduboni	奥杜邦林莺	
Yellow-throated Warbler	Setophaga dominica	黄喉林莺	Rare
Prairie Warbler	Setophaga discolor	草原林莺	Rare
Grace's Warbler	Setophaga graciae	黄喉纹胁林莺	Rare
Black-throated Grey Warbler	Setophaga nigrescens	黑喉灰林莺	
Townsend's Warbler	Setophaga townsendi	黄眉林莺	
Hermit Warbler	Setophaga occidentalis	黄脸林莺	
Black-throated Green Warbler	Setophaga virens	黑喉绿林莺	Rare
Canada Warbler	Cardellina canadensis	加拿大威森莺	Rare
Wilson's Warbler	Cardellina pusilla	黑头威森莺	
Painted Whitestart	Myioborus pictus	彩鸲莺	Rare
 
PASSERIFORMES: Cardinalidae

Summer Tanager	Piranga rubra	玫红丽唐纳雀	Rare
Scarlet Tanager	Piranga olivacea	猩红丽唐纳雀	Rare
Western Tanager	Piranga ludoviciana	黄腹丽唐纳雀	
Rose-breasted Grosbeak	Pheucticus ludovicianus	玫胸白斑翅雀	
Black-headed Grosbeak	Pheucticus melanocephalus	黑头白斑翅雀	
Dickcissel	Spiza americana	美洲雀	
Blue Grosbeak	Passerina caerulea	斑翅蓝彩鹀	
Indigo Bunting	Passerina cyanea	靛彩鹀	Rare
Lazuli Bunting	Passerina amoena	白腹蓝彩鹀	
Painted Bunting	Passerina ciris	丽彩鹀	Rare
