169	0426	黑枕燕鸥	Sterna	sumatrana	Black-naped	Tern	LC	-	A
170	0427	普通燕鸥	Sterna	hirundo	Common	Tern	LC	-	C
171	0429	须浮鸥	Chlidonias	hybrida	Whiskered	Tern	LC	-	A
172	0430	白翅浮鸥	Chlidonias	leucopterus	White-winged	Tern	LC	-	A
鸽形目	鸠鸽科	COLUMBIFORMES	Columbidae
173	0456	山斑鸠	Streptopelia	orientalis	Oriental	Turtle	Dove	LC	-	A
174	0457	灰斑鸠	Streptopelia decaocto	Eurasian	Collared	Dove	LC	-	B
175	0458	火斑鸠	Streptopelia	tranquebarica	Red	Collared	Dove	LC	-	A
176	0459	珠颈斑鸠	Spilopelia	chinensis	Spotted	Dove	LC	-	A
177	0461	斑尾鹃鸠	Macropygia	unchall	Barred	Cuckoo-Dove	LC	二级	B
178	0464	绿翅金鸠	Chalcophaps	indica	Emerald	Dove	LC	-	B
179	0473	红翅绿鸠	Treron	sieboldii	White-bellied	Green	Pigeon	LC	二级	C
鹃形目	杜鹃科	CUCULIFORMES	Cuculidae
180	0478	褐翅鸦鹃	Centropus	sinensis	Greater	Coucal	LC	二级	A
181	0479	小鸦鹃	Centropus	bengalensis	Lesser	Coucal	LC	二级	B
182	0481	红翅凤头鹃	Clamator	coromandus	Chestnut-winged	Cuckoo	LC	-	B
183	0483	噪鹃	Eudynamys	scolopaceus	Asian	Koel	LC	-	A
184	0487	八声杜鹃	Cacomantis	merulinus	Plaintive	Cuckoo	LC	-	A
185	0488	乌鹃	Surniculus	lugubris	Square-tailed	Drongo-Cuckoo	LC	-	B
186	0489	大鹰鹃	Hierococcyx	sparverioides	Large	Hawk-Cuckoo	LC	-	A
187	0491	北棕腹鹰鹃	Hierococcyx	hyperythrus	Northern	Hawk-Cuckoo	LC	-	C
188	0492	棕腹鹰鹃	Hierococcyx	nisicolor	Hodgson's	Hawk-Cuckoo	LC	-	C
189	0493	小杜鹃	Cuculus	poliocephalus	Asian	Lesser	Cuckoo	LC	-	A
190	0494	四声杜鹃	Cuculus	micropterus	Indian	Cuckoo	LC	-	C
191	0495	中杜鹃	Cuculus	saturatus	Himalayan	Cuckoo	LC	-	B
192	0496	东方中杜鹃	Cuculus	optatus	Oriental	Cuckoo	LC	-	C
193	0497	大杜鹃	Cuculus	canorus	Common	Cuckoo	LC	-	D
鸮形目	仓鸮科	STRIGIFORMES	Tytonidae
194	0499	草鸮	Tyto	longimembris	Eastern	Grass	Owl	LC	二级	D
鸮形目	鸱鸮科	STRIGIFORMES	Strigidae
195	0510	黄嘴角鸮	Otus	spilocephalus	Mountain	Scops	Owl	LC	二级	C
196	0515	领角鸮	Otus	lettia	Collared	Scops	Owl	LC	二级	A
197	0513	红角鸮	Otus	sunia	Oriental	Scops	Owl	LC	二级	A
198	0520	雕鸮	Bubo	bubo	Eurasian	Eagle-Owl	LC	二级	D
199	0503	领鸺鹠	Taenioptynx	brodiei	Collared	Owlet	LC	二级	A
200	0509	斑头鸺鹠	Glaucidium	cuculoides	Asian	Barred	Owlet	LC	二级	B
201	0501	北鹰鸮	Ninox	japonica	Northern	Boobook	LC	二级	B
202	0517	长耳鸮	Asio	otus	Long-eared	Owl	LC	二级	D
203	0518	短耳鸮	Asio	flammeus	Short-eared	Owl	LC	二级	C
夜鹰目	夜鹰科	CAPRIMULGIFORMES	Caprimulgidae
204	0532	普通夜鹰	Caprimulgus	jotaka	Grey	Nightjar	LC	-	A
205	0536	林夜鹰	Caprimulgus	affinis	Savanna	Nightjar	LC	-	A
雨燕目	雨燕科	APODIFORMES	Apodidae
普通雨燕	
206	0538	短嘴金丝燕	Aerodramus	brevirostris	Himalayan	Swiftlet	LC	-	C
207	0540	白喉针尾雨燕	Hirundapus	caudacutus	White-throated	Needletail	LC	-	C
