中文名	拉丁名	英文名	记录次数	定点记	随手记
银脸长尾山雀	Aegithalos fuliginosus	Sooty Bushtit	1	1	0
凤头雀莺	Leptopoecile elegans	Crested Tit-warbler	1	1	0
火尾绿鹛	Myzornis pyrrhoura	Fire-tailed Myzornis	3	2	1
中华雀鹛	Fulvetta striaticollis	Chinese Fulvetta	1	1	0
路氏雀鹛	Fulvetta ludlowi	Brown-throated Fulvetta	1	1	0
山鹛	Rhopophilus pekinensis	Beijing Hill-warbler	1	1	0
棕头鸦雀	Sinosuthora webbiana	Vinous-throated Parrotbill	5	5	0
短尾鸦雀	Neosuthora davidiana	Short-tailed Parrotbill	1	1	0
黑眉鸦雀	Chleuasicus atrosuperciliaris	Pale-billed Parrotbill	1	1	0
白胸鸦雀	Psittiparus ruficeps	White-breasted Parrotbill	1	1	0
红头鸦雀	Psittiparus bakeri	Rufous-headed Parrotbill	1	1	0
灰头鸦雀	Psittiparus gularis	Grey-headed Parrotbill	4	4	0
白领凤鹛	Parayuhina diademata	White-collared Yuhina	1	1	0
栗耳凤鹛	Staphida castaniceps	Striated Yuhina	1	1	0
栗颈凤鹛	Staphida torqueola	Indochinese Yuhina	5	5	0
白颈凤鹛	Parayuhina bakeri	White-naped Yuhina	1	1	0
黄颈凤鹛	Yuhina flavicollis	Whiskered Yuhina	4	3	1
纹喉凤鹛	Yuhina gularis	Stripe-throated Yuhina	3	3	0
棕臀凤鹛	Yuhina occipitalis	Rufous-vented Yuhina	1	1	0
黑颏凤鹛	Yuhina nigrimenta	Black-chinned Yuhina	1	0	1
暗绿绣眼鸟	Zosterops simplex	Swinhoe's White-eye	65	62	1
白头鵙鹛	Gampsorhynchus rufulus	White-hooded Babbler	2	2	0
点胸鸦雀	Paradoxornis guttaticollis	Spot-breasted Parrotbill	1	1	0
长嘴钩嘴鹛	Erythrogenys hypoleucos	Large Scimitar Babbler	4	3	0
华南斑胸钩嘴鹛	Erythrogenys swinhoei	Grey-sided Scimitar Babbler	8	7	1
棕颈钩嘴鹛	Pomatorhinus ruficollis	Streak-breasted Scimitar Babbler	20	19	1
红嘴钩嘴鹛	Pomatorhinus ferruginosus	Coral-billed Scimitar Babbler	1	0	1
细嘴钩嘴鹛	Pomatorhinus superciliaris	Slender-billed Scimitar Babbler	1	1	0
斑颈穗鹛	Stachyris strialata	Spot-necked Babbler	1	1	0
红头穗鹛	Cyanoderma ruficeps	Rufous-capped Babbler	20	18	1
金头穗鹛	Cyanoderma chrysaeum	Golden Babbler	1	1	0
黄喉穗鹛	Cyanoderma ambiguum	Buff-chested Babbler	1	1	0
黄喉雀鹛	Schoeniparus cinereus	Yellow-throated Fulvetta	2	1	1
栗头雀鹛	Schoeniparus castaneceps	Rufous-winged Fulvetta	6	5	1
褐顶雀鹛	Schoeniparus brunneus	Dusky Fulvetta	1	1	0
斑胸钩嘴鹛	Erythrogenys gravivox	Black-streaked Scimitar Babbler	1	1	0
纹胸鹪鹛	Napothera epilepidota	Eyebrowed Wren-babbler	1	1	0
棕胸雅鹛	Pellorneum tickelli	Buff-breasted Babbler	1	1	0
褐脸雀鹛	Alcippe poioicephala	Brown-cheeked Fulvetta	1	1	0
栗颈噪鹛	Pterorhinus ruficollis	Rufous-necked Laughingthrush	1	1	0
棕头幽鹛	Pellorneum ruficeps	Puff-throated Babbler	2	2	0
灰眶雀鹛	Alcippe davidi	David's Fulvetta	2	2	0
淡眉雀鹛	Alcippe hueti	Huet's Fulvetta	14	14	0
白眶雀鹛	Alcippe nipalensis	Nepal Fulvetta	1	1	0
画眉	Garrulax canorus	Chinese Hwamei	15	14	0
小黑领噪鹛	Garrulax monileger	Lesser Necklaced Laughingthrush	2	2	0
白冠噪鹛	Garrulax leucolophus	White-crested Laughingthrush	1	0	1
栗颊噪鹛	Garrulax castanotis	Rufous-cheeked Laughingthrush	2	2	0
黑喉噪鹛	Pterorhinus chinensis	Black-throated Laughingthrush	3	3	0
黑领噪鹛	Pterorhinus pectoralis	Greater Necklaced Laughingthrush	4	4	0
黑脸噪鹛	Pterorhinus perspicillatus	Masked Laughingthrush	40	39	1
短尾鹪鹛	Gypsophila brevicaudata	Streaked Wren-babbler	1	1	0
白颊噪鹛	Pterorhinus sannio	White-browed Laughingthrush	29	28	1
山噪鹛	Pterorhinus davidi	Plain Laughingthrush	1	1	0
