310	黄颊麦鸡	Vanellus gregarius	Sociable Lapwing	鸻形目	鸻科
311	白尾麦鸡	Vanellus leucurus	White-tailed Lapwing	鸻形目	鸻科
312	欧金鸻	Pluvialis apricaria	European Golden Plover	鸻形目	鸻科
313	金斑鸻	Pluvialis fulva	Pacific Golden Plover	鸻形目	鸻科
314	美洲金鸻	Pluvialis dominica	American Golden Plover	鸻形目	鸻科
315	灰斑鸻	Pluvialis squatarola	Grey Plover	鸻形目	鸻科
317	长嘴剑鸻	Charadrius placidus	Long-billed Plover	鸻形目	鸻科
318	金眶鸻	Charadrius dubius	Little Ringed Plover	鸻形目	鸻科
319	环颈鸻	Charadrius alexandrinus	Kentish Plover	鸻形目	鸻科
320	蒙古沙鸻	Charadrius mongolus	Lesser Sand Plover	鸻形目	鸻科
321	铁嘴沙鸻	Charadrius leschenaultii	Greater Sand Plover	鸻形目	鸻科
322	红胸鸻	Charadrius asiaticus	Caspian Plover	鸻形目	鸻科
323	东方鸻	Charadrius veredus	Oriental Plover	鸻形目	鸻科
324	小嘴鸻	Charadrius morinellus	Eurasian Dotterel	鸻形目	鸻科
349	小黄脚鹬	Tringa flavipes	Lesser Yellowlegs	鸻形目	丘鹬科
325	彩鹬	Rostratula benghalensis	Greater Painted Snipe	鸻形目	彩鹬科
326	水雉	Hydrophasianus chirurgus	Pheasant-tailed Jacana	鸻形目	水雉科
327	铜翅水雉	Metopidius indicus	Bronze-winged Jacana	鸻形目	水雉科
328	丘鹬	Scolopax rusticola	Eurasian Woodcock	鸻形目	丘鹬科
329	姬鹬	Lymnocryptes minimus	Jack Snipe	鸻形目	丘鹬科
330	孤沙锥	Gallinago solitaria	Solitary Snipe	鸻形目	丘鹬科
331	澳南沙锥	Gallinago hardwickii	Latham's Snipe	鸻形目	丘鹬科
332	林沙锥	Gallinago nemoricola	Wood Snipe	鸻形目	丘鹬科
333	针尾沙锥	Gallinago stenura	Pin-tailed Snipe	鸻形目	丘鹬科
334	大沙锥	Gallinago megala	Swinhoe's Snipe	鸻形目	丘鹬科
335	扇尾沙锥	Gallinago gallinago	Common Snipe	鸻形目	丘鹬科
