鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4289	黑冠鳽	Gorsachius melanolophus	Malay Night-heron	鹈形目	鹭科	5	0
4290	夜鹭	Nycticorax nycticorax	Black-crowned Night-heron	鹈形目	鹭科	107	2
4292	绿鹭	Butorides striata	Green-backed Heron	鹈形目	鹭科	12	0
4294	池鹭	Ardeola bacchus	Chinese Pond Heron	鹈形目	鹭科	144	2
4295	爪哇池鹭	Ardeola speciosa	Javan Pond Heron	鹈形目	鹭科	1	0
4296	牛背鹭	Bubulcus coromandus	Cattle Egret	鹈形目	鹭科	70	1
4297	苍鹭	Ardea cinerea	Grey Heron	鹈形目	鹭科	136	1
4299	草鹭	Ardea purpurea	Purple Heron	鹈形目	鹭科	4	0
4300	大白鹭	Ardea alba	Great Egret	鹈形目	鹭科	173	1
4301	中白鹭	Ardea intermedia	Intermediate Egret	鹈形目	鹭科	28	0
4304	白鹭	Egretta garzetta	Little Egret	鹈形目	鹭科	279	4
4305	岩鹭	Egretta sacra	Pacific Reef-egret	鹈形目	鹭科	10	1
4306	黄嘴白鹭	Egretta eulophotes	Chinese Egret	鹈形目	鹭科	14	1
4307	卷羽鹈鹕	Pelecanus crispus	Dalmatian Pelican	鹈形目	鹈鹕科	1	0
4310	白斑军舰鸟	Fregata ariel	Lesser Frigatebird	鲣鸟目	军舰鸟科	2	0
4314	褐鲣鸟	Sula leucogaster	Brown Booby	鲣鸟目	鲣鸟科	1	0
4318	黑颈鸬鹚	Microcarbo niger	Little Cormorant	鲣鸟目	鸬鹚科	1	0
4319	海鸬鹚	Phalacrocorax pelagicus	Pelagic Cormorant	鲣鸟目	鸬鹚科	1	0
4321	普通鸬鹚	Phalacrocorax carbo	Great Cormorant	鲣鸟目	鸬鹚科	75	0
4322	绿背鸬鹚	Phalacrocorax capillatus	Japanese Cormorant	鲣鸟目	鸬鹚科	3	0
4325	棕三趾鹑	Turnix suscitator	Barred Buttonquail	鸻形目	三趾鹑科	1	0
4329	蛎鹬	Haematopus ostralegus	Eurasian Oystercatcher	鸻形目	蛎鹬科	16	0
4331	反嘴鹬	Recurvirostra avosetta	Pied Avocet	鸻形目	反嘴鹬科	59	1
4332	黑翅长脚鹬	Himantopus himantopus	Black-winged Stilt	鸻形目	反嘴鹬科	96	0
4333	凤头麦鸡	Vanellus vanellus	Northern Lapwing	鸻形目	鸻科	6	0
4335	灰头麦鸡	Vanellus cinereus	Grey-headed Lapwing	鸻形目	鸻科	7	0
4336	肉垂麦鸡	Vanellus indicus	Red-wattled Lapwing	鸻形目	鸻科	1	0
4341	金鸻	Pluvialis fulva	Pacific Golden Plover	鸻形目	鸻科	47	0
4342	灰鸻	Pluvialis squatarola	Grey Plover	鸻形目	鸻科	49	0
4344	长嘴剑鸻	Charadrius placidus	Long-billed Plover	鸻形目	鸻科	3	0
4345	金眶鸻	Charadrius dubius	Little Ringed Plover	鸻形目	鸻科	40	0
4346	环颈鸻	Charadrius alexandrinus	Kentish Plover	鸻形目	鸻科	74	0
4347	白脸鸻	Charadrius dealbatus	White-faced Plover	鸻形目	鸻科	7	0
4348	蒙古沙鸻	Charadrius mongolus	Lesser Sand Plover	鸻形目	鸻科	29	0
4349	青藏沙鸻	Charadrius atrifrons	Tibetan Sand Plover	鸻形目	鸻科	13	0
4350	铁嘴沙鸻	Charadrius leschenaultii	Greater Sand Plover	鸻形目	鸻科	62	0
4353	彩鹬	Rostratula benghalensis	Greater Painted-snipe	鸻形目	彩鹬科	2	0
4354	水雉	Hydrophasianus chirurgus	Pheasant-tailed Jacana	鸻形目	水雉科	9	0
4355	铜翅水雉	Metopidius indicus	Bronze-winged Jacana	鸻形目	水雉科	1	0
4356	中杓鹬	Numenius phaeopus	Whimbrel	鸻形目	鹬科	49	0
4357	小杓鹬	Numenius minutus	Little Curlew	鸻形目	鹬科	1	0
4358	白腰杓鹬	Numenius arquata	Eurasian Curlew	鸻形目	鹬科	45	0
4359	大杓鹬	Numenius madagascariensis	Far Eastern Curlew	鸻形目	鹬科	7	0
4360	斑尾塍鹬	Limosa lapponica	Bar-tailed Godwit	鸻形目	鹬科	11	0
4361	黑尾塍鹬	Limosa limosa	Black-tailed Godwit	鸻形目	鹬科	15	0
4362	翻石鹬	Arenaria interpres	Ruddy Turnstone	鸻形目	鹬科	40	0
4363	大滨鹬	Calidris tenuirostris	Great Knot	鸻形目	鹬科	23	0
4364	红腹滨鹬	Calidris canutus	Red Knot	鸻形目	鹬科	15	0
4365	流苏鹬	Calidris pugnax	Ruff	鸻形目	鹬科	2	0
4366	阔嘴鹬	Calidris falcinellus	Broad-billed Sandpiper	鸻形目	鹬科	20	0
4367	尖尾滨鹬	Calidris acuminata	Sharp-tailed Sandpiper	鸻形目	鹬科	14	0
4369	弯嘴滨鹬	Calidris ferruginea	Curlew Sandpiper	鸻形目	鹬科	25	0
4370	青脚滨鹬	Calidris temminckii	Temminck's Stint	鸻形目	鹬科	12	0
4371	长趾滨鹬	Calidris subminuta	Long-toed Stint	鸻形目	鹬科	14	0
4372	勺嘴鹬	Calidris pygmaea	Spoon-billed Sandpiper	鸻形目	鹬科	6	0
4373	红颈滨鹬	Calidris ruficollis	Red-necked Stint	鸻形目	鹬科	45	0
4374	三趾滨鹬	Calidris alba	Sanderling	鸻形目	鹬科	9	0
