	1076#	Cyanoderma ruficeps	红头穗鹛	Rufous-capped Babbler	LC	-
	-	Spelaeornis kinneari	淡喉鹩鹛	Pale-throated Wren-Babbler	VU	-
	1061#	Pomatorhinus ferruginosus	红嘴钩嘴鹛	Coral-billed Scimitar Babbler	LC	-
	1059#	Pomatorhinus ruficollis	棕颈钩嘴鹛	Streak-breasted Scimitar Babbler	LC	-
	1056#	Erythrogenys gravivox	斑胸钩嘴鹛	Black-streaked Scimitar Babbler	LC	-
	1078#	Stachyris nigriceps	黑头穗鹛	Grey-throated Babbler	LC	-
	1079#	Stachyris strialata	斑颈穗鹛	Spot-necked Babbler	LC	-
	雀形目	PASSERIFORMES	幽鹛科	Pellorneidae (8:17)		
	1116#	Schoeniparus dubius	褐胁雀鹛	Rusty-capped Fulvetta	LC	-
	1052#	Pellorneum tickelli	棕胸雅鹛	Buff-breasted Babbler	LC	-
	1065#	Gypsophila brevicaudata	短尾鹪鹛	Streaked Wren-Babbler	LC	-
	1053#	Pellorneum albiventre	白腹幽鹛	Spot-throated Babbler	LC	-
	雀形目	PASSERIFORMES	雀鹛科	Alcippeidae (1:6)		
	-	Alcippe davidi	灰眶雀鹛	David's Fulvetta	NR	-
	-	Alcippe hueti	淡眉雀鹛	Huet's Fulvetta	NR	-
	雀形目	PASSERIFORMES	噪鹛科	Leiothrichidae (9:70)		
	1048#	Trochalopteron milnei	赤尾噪鹛	Red-tailed Laughingthrush	LC	-
	1123#	Heterophasia desgodinsi	黑头奇鹛	Black-headed Sibia	LC	-
	1102#	Actinodura cyanouroptera	蓝翅希鹛	Blue-winged Minla	LC	-
	1097#	Actinodura ramsayi	白眶斑翅鹛	Spectacled Barwing	LC	-
	1088#	Leiothrix lutea	红嘴相思鸟	Red-billed Leiothrix	LC	-
	1087#	Leiothrix argentauris	银耳相思鸟	Silver-eared Mesia	LC	-
